,id,title,subtitle,claps,responses,publication,date,link,tokenized,popular,year
11737,11738,Build a BERT-based Semantic Search System…For Star Trek,Use AI to boldly search like no one has…,15,0,Towards Data Science,2020-08-05,https://towardsdatascience.com/build-a-bert-based-semantic-search-system-for-star-trek-7d7d28414cd8?source=collection_archive---------20-----------------------,"[('build', 'VB'), ('bert-based', 'JJ'), ('semantic', 'JJ'), ('search', 'NN'), ('system…for', 'JJ'), ('star', 'NN'), ('trek', 'NN')]",0,2020
2006,2007,Introduction to Data Engineering,A Q&A for the most frequently…,691,3,Towards Data Science,2020-02-23,https://towardsdatascience.com/introduction-to-data-engineering-e16c9942dc2c?source=collection_archive---------8-----------------------,"[('introduction', 'NN'), ('data', 'NNS'), ('engineering', 'NN')]",1,2020
4986,4987,On the power of the BAN,,7,0,Towards Data Science,2019-07-22,https://towardsdatascience.com/on-the-power-of-the-ban-aa783510f3a1?source=collection_archive---------43-----------------------,"[('power', 'NN'), ('ban', 'NN')]",0,2019
3372,3373,Instagram Data Analysis,Using Panoply and Mode to explore Instagram data to get insights,302,1,Towards Data Science,2019-05-28,https://towardsdatascience.com/instagram-data-analysis-ce03aa4a472a?source=collection_archive---------11-----------------------,"[('instagram', 'NN'), ('data', 'NNS'), ('analysis', 'NN')]",1,2019
5460,5461,Keeping your kids active during quarantine by turning their bicycle into a keyboard,,184,0,Towards Data Science,2020-05-04,https://towardsdatascience.com/keeping-your-kids-in-shape-during-quarantine-by-turning-their-bicycle-into-a-keyboard-e1f8a34fac2e?source=collection_archive---------51-----------------------,"[('keeping', 'VBG'), ('kids', 'NNS'), ('active', 'JJ'), ('quarantine', 'NN'), ('turning', 'VBG'), ('bicycle', 'NN'), ('keyboard', 'NN')]",1,2020
9748,9749,Early Fire detection system using deep learning and OpenCV,,286,1,Towards Data Science,2020-07-05,https://towardsdatascience.com/early-fire-detection-system-using-deep-learning-and-opencv-6cb60260d54a?source=collection_archive---------7-----------------------,"[('early', 'JJ'), ('fire', 'NN'), ('detection', 'NN'), ('system', 'NN'), ('using', 'VBG'), ('deep', 'JJ'), ('learning', 'NN'), ('opencv', 'NN')]",1,2020
10805,10806,Buying a car (in a nerdy way),"Nerd search engine to find good deals on second-hand car prices, by using machine learning for price prediction.",175,0,Towards Data Science,2020-07-21,https://towardsdatascience.com/buying-a-car-in-a-nerdy-way-8ec4626fd49b?source=collection_archive---------55-----------------------,"[('buying', 'NN'), ('car', 'NN'), ('nerdy', 'JJ'), ('way', 'NN')]",1,2020
8840,8841,Step by Step Guide of AWS Elastic Container Service(With Images),Deploy Your Container and Configure…,6,0,Towards Data Science,2020-06-20,https://towardsdatascience.com/step-by-step-guide-of-aws-elastic-container-service-with-images-c258078130ce?source=collection_archive---------27-----------------------,"[('step', 'NN'), ('step', 'NN'), ('guide', 'RB'), ('aws', 'VBZ'), ('elastic', 'JJ'), ('container', 'NN'), ('service', 'NN'), ('images', 'NNS')]",0,2020
17854,17855,How to structure business problems for data science solutions,,8,1,Towards Data Science,2020-11-26,https://towardsdatascience.com/how-to-structure-business-problems-for-data-science-solutions-d7d8a645fb75?source=collection_archive---------31-----------------------,"[('structure', 'NN'), ('business', 'NN'), ('problems', 'NNS'), ('data', 'NNS'), ('science', 'NN'), ('solutions', 'NNS')]",0,2020
17072,17073,Knowing These 5 HCI’s Principles Will Make Your Data Visualization Look…,,610,1,Towards Data Science,2020-11-12,https://towardsdatascience.com/knowing-these-5-hcis-principles-will-make-your-data-visualization-look-amazing-efbf22f05ab8?source=collection_archive---------7-----------------------,"[('knowing', 'VBG'), ('5', 'CD'), ('hci', 'JJ'), ('’', 'JJ'), ('principles', 'NNS'), ('make', 'VBP'), ('data', 'NNS'), ('visualization', 'NN'), ('look…', 'NN')]",1,2020
17539,17540,Transpositions in SQL,"How to handle dynamic transposition, transposition with inter-row calculations…",12,0,Towards Data Science,2020-11-20,https://towardsdatascience.com/transpositions-in-sql-c1cf724dfa2a?source=collection_archive---------26-----------------------,"[('transpositions', 'NNS'), ('sql', 'VBP')]",0,2020
9013,9014,An algorithm to find the best moving average for stock trading,A simple algorithm for finding the best…,833,8,Towards Data Science,2020-06-23,https://towardsdatascience.com/an-algorithm-to-find-the-best-moving-average-for-stock-trading-1b024672299c?source=collection_archive---------4-----------------------,"[('algorithm', 'JJ'), ('find', 'VBP'), ('best', 'JJS'), ('moving', 'VBG'), ('average', 'JJ'), ('stock', 'NN'), ('trading', 'NN')]",1,2020
18973,18974,NLP: Gaining insights from text reviews,"Every time we express ourselves, either verbally or in…",6,0,Towards Data Science,2020-12-17,https://towardsdatascience.com/nlp-gaining-insights-from-text-reviews-94ef955c58c0?source=collection_archive---------42-----------------------,"[('nlp', 'RB'), ('gaining', 'VBG'), ('insights', 'NNS'), ('text', 'JJ'), ('reviews', 'NNS')]",0,2020
550,551,Data Analytics with Python by Web scraping: Illustration with CIA World Fact-book,"In this article, we…",1700,6,Towards Data Science,2018-03-04,https://towardsdatascience.com/data-analytics-with-python-by-web-scraping-illustration-with-cia-world-factbook-abbdaa687a84?source=collection_archive---------0-----------------------,"[('data', 'NNS'), ('analytics', 'NNS'), ('python', 'VBP'), ('web', 'JJ'), ('scraping', 'VBG'), ('illustration', 'NN'), ('cia', 'JJ'), ('world', 'NN'), ('fact-book', 'NN')]",1,2018
17665,17666,PyTorch 2.0: What you should expect,"What is coming to PyTorch in the next three years, and why you…",134,0,Towards Data Science,2020-11-23,https://towardsdatascience.com/pytorch-2-0-what-you-should-expect-98de53461825?source=collection_archive---------7-----------------------,"[('pytorch', 'NN'), ('2.0', 'CD'), ('expect', 'NN')]",1,2020
10223,10224,Reviewing Essential Concepts from Part 1,Mathematical Notation Updated and a Continuous Task Example,4,0,Towards Data Science,2020-07-12,https://towardsdatascience.com/reviewing-essential-concepts-from-part-1-e28234ee7f4f?source=collection_archive---------41-----------------------,"[('reviewing', 'VBG'), ('essential', 'JJ'), ('concepts', 'NNS'), ('part', 'NN'), ('1', 'CD')]",0,2020
